Sample	Mapped (with MQ>0)	MQ0	Unmapped
DGS-20-210.grch38	887501831	36914709	16148938
DGS-20-210.chm13	887755359	44967404	5061835
D23-0074.grch38	813214631	34863339	14001958
D23-0074.chm13	813315133	42040203	4252814
D23-0060.grch38	924975502	37289657	17885329
D23-0060.chm13	926360623	45935711	4762986
D23-0059.grch38	904909371	42362380	16810437
D23-0059.chm13	904857063	51887222	5544665
D23-0058.grch38	989382844	45753857	20484405
D23-0058.chm13	991636555	55941015	5892552
D22-0170.grch38	729436780	29193993	12282467
D22-0170.chm13	731541051	33997168	3726627
D22-0162.grch38	857392039	35424456	14551905
D22-0162.chm13	856818180	43669185	4638073
D22-0161.grch38	819937035	35702051	14682944
D22-0161.chm13	818659290	45158762	5194206
D22-0159.grch38	874160281	35433379	15631206
D22-0159.chm13	873497640	44199977	4783345
D22-0119.grch38	913226576	41914257	15993473
D22-0119.chm13	913482822	50969075	5455653
D22-0110.grch38	868470804	38518227	15622713
D22-0110.chm13	868835797	47504267	4867438
D22-0109.grch38	924400626	39406249	15961759
D22-0109.chm13	924825021	48667600	5053975
D22-0089.grch38	882605917	39984473	17378404
D22-0089.chm13	884894828	49122007	5121547
D22-0088.grch38	807656720	36915142	14025204
D22-0088.chm13	806954380	44349950	4703144
D22-0082.grch38	804836664	37318275	14207649
D22-0082.chm13	805083831	44964078	4230251
D22-0081.grch38	828571655	38856837	16718238
D22-0081.chm13	828762143	48596792	5207425
D22-0080.grch38	720948837	30795796	13352447
D22-0080.chm13	722461977	37340864	3895625
D22-0075.grch38	703288963	31529516	12441043
D22-0075.chm13	703877208	38067440	4175738
D22-0074.grch38	743902981	31057167	12411304
D22-0074.chm13	744467808	36997135	3917949
D22-0060.grch38	693205738	30887990	12121966
D22-0060.chm13	694381851	36607729	3533562
D22-0056.grch38	722163901	32524155	13263884
D22-0056.chm13	722328487	39578273	4076558
D22-0050.grch38	657619696	30627503	12419869
D22-0050.chm13	657806115	37679733	3677486
D22-0049.grch38	658167900	28582912	11995228
D22-0049.chm13	658576504	34913604	3510952
D22-0018.grch38	899111291	35780186	17020013
D22-0018.chm13	900493547	43519748	4970483
D22-0017.grch38	797633793	36250927	14439946
D22-0017.chm13	797326829	44697860	4573467
D22-0015.grch38	905401505	40931346	17181209
D22-0015.chm13	906975787	49054634	5351005
D22-0008.grch38	839732247	35470340	14254105
D22-0008.chm13	839966309	42945318	4499247
D22-0007.grch38	794637178	16656696	10767518
D22-0007.chm13	797308821	22927476	3357559
D22-0006.grch38	903097899	40457991	15589674
D22-0006.chm13	903956017	49268646	4960539
D21-0091.grch38	1128090665	48810649	20118340
D21-0091.chm13	1128829744	59824767	6020545
D21-0085.grch38	820542669	36031871	14755710
D21-0085.chm13	820924808	44331763	4605233
D21-0084.grch38	744029152	34651605	14014229
D21-0084.chm13	744018619	42260043	4136918
D21-0083.grch38	694671746	31352939	13030231
D21-0083.chm13	695214398	38085398	3733076
D21-0079.grch38	884384258	37567583	16228669
D21-0079.chm13	885336141	45551172	4980235
D21-0078.grch38	871963301	39037369	16226530
D21-0078.chm13	873144800	48145280	5269792
D21-0077.grch38	695516932	30148279	12307539
D21-0077.chm13	695919566	36682531	3670141
D21-0076.grch38	1108834277	46294995	19933672
D21-0076.chm13	1110539708	55548666	6293024
D21-0075.grch38	699966607	33064533	13742540
D21-0075.chm13	700598020	40287175	4334159
D21-0074.grch38	771507560	34263776	14633246
D21-0074.chm13	772665512	40960410	4382446
D21-0069.grch38	980449655	38380298	17428749
D21-0069.chm13	981240202	46669054	5001284
D21-0068.grch38	760221212	33772754	14450380
D21-0068.chm13	761277289	40647250	4615197
D21-0024.grch38	756539222	30242854	13633992
D21-0024.chm13	757111111	37390063	3969994
D21-0023.grch38	799271365	35854722	14710325
D21-0023.chm13	800251744	43772914	4775290
D21-0013.grch38	785908069	34969280	14368899
D21-0013.chm13	786706258	42347841	4205075
D20-1040.grch38	721169703	34742602	13744975
D20-1040.chm13	722006378	41956856	4405610
D20-1019.grch38	629977326	27994057	11548325
D20-1019.chm13	630301422	34245279	3583907
D20-0819.grch38	1117428568	48681692	19097754
D20-0819.chm13	1118363836	58694307	6550769
D20-0418.grch38	837430170	34695953	15801123
D20-0418.chm13	839016491	41810186	4579213
D20-0414.grch38	658960577	25953349	11802080
D20-0414.chm13	660460683	30574303	3709142
D19-1649.grch38	828198207	35754815	14656220
D19-1649.chm13	828761495	42540861	4491160
D19-1648.grch38	847943474	35728886	16008270
D19-1648.chm13	847943754	45091214	5182426
D19-1647.grch38	784764261	31501705	13853900
D19-1647.chm13	784511090	39186376	4229548
D19-0825.grch38	988166019	43880217	19464966
D19-0825.chm13	989431138	55094873	5536539
D19-0824.grch38	729072624	29632981	13637345
D19-0824.chm13	730009457	36023827	4179126
D19-0823.grch38	722942576	32870614	14520568
D19-0823.chm13	723848623	41110661	4261162
D19-0714.grch38	691475381	30576719	12621130
D19-0714.chm13	691567230	37267811	3864779
D18-1921.grch38	693471335	31343018	13501117
D18-1921.chm13	694721228	38652556	3506232
D18-1122.grch38	628463895	29553135	11340616
D18-1122.chm13	628156415	36222418	3905463
D18-0870.grch38	750570583	35077883	14186656
D18-0870.chm13	750818800	42820992	4624754
D18-0051.grch38	709259472	33771903	13497561
D18-0051.chm13	710509633	40858680	4176143
D17-0918.grch38	864545739	40711655	16171008
D17-0918.chm13	863145169	51917369	4973418
D16-0298.grch38	831177138	33243689	14274623
D16-0298.chm13	832156541	40298662	4571559
D16-0208.grch38	917329696	37553089	16304491
D16-0208.chm13	917466553	46502955	4639546
D15-1768.grch38	1251787420	49073015	21943369
D15-1768.chm13	1253164506	59610027	6427043
D15-1762.grch38	920396506	39164908	15603046
D15-1762.chm13	919641976	48099003	5570719
D15-1050.grch38	969008189	37410024	17312639
D15-1050.chm13	970844694	45392081	5058949
D15-1048.grch38	927988946	37416351	17356661
D15-1048.chm13	930052494	45457696	5309644
D15-0055.grch38	1029414399	38233302	18203351
D15-0055.chm13	1031485316	46705198	5264342
D14-0589.grch38	812386472	43193540	16129264
D14-0589.chm13	811885090	53828976	4724548
D13-944.grch38	626834413	24744353	11064870
D13-944.chm13	626797777	31063821	3136100
D13-708.grch38	727153548	31585203	13653129
D13-708.chm13	727096547	38925485	4171336
D12-928.grch38	697890434	40110812	14096696
D12-928.chm13	698017009	49044351	4528764
D12-881.grch38	705528264	35908871	15141801
D12-881.chm13	706175040	45523365	4314769
D12-880.grch38	640052014	32086821	12333317
D12-880.chm13	639187948	40209129	3888531
D09-468.grch38	1180004244	46649191	21336407
D09-468.chm13	1180639730	57341331	5968095
