sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D23-0060,Linear,GRCh38,0.00065684,0.04205296,0.99934316,0.95729020,0.04205296,0.98755677,0.00027581,0.00662451
DGS-20-210,Linear,GRCh38,0.00054404,0.04573984,0.99945596,0.95371612,0.04573984,0.98670724,0.00029513,0.00556864
D09-468,HPRC,T2T-CHM13,0.00064371,0.05698947,0.99935629,0.94236682,0.04609620,0.97896854,0.97896854,0.00038696
D12-880,HPRC,T2T-CHM13,0.00019135,0.05899929,0.99980865,0.94080937,0.05884674,0.97317511,0.97317511,0.00042612
D12-881,HPRC,T2T-CHM13,0.00019423,0.06045784,0.99980577,0.93934793,0.06021504,0.97619242,0.97619242,0.00043950
D12-928,HPRC,T2T-CHM13,0.00137809,0.06334492,0.99862191,0.93527699,0.06525412,0.97084291,0.97084291,0.00043382
D13-708,HPRC,T2T-CHM13,0.00121996,0.06065679,0.99878004,0.93812324,0.05053989,0.97606024,0.97606024,0.00035152
D13-944,HPRC,T2T-CHM13,0.00082476,0.05722355,0.99917524,0.94195169,0.04699535,0.98115140,0.98115140,0.00034283
D14-0589,HPRC,T2T-CHM13,0.00019220,0.05830616,0.99980780,0.94150163,0.06184121,0.97293046,0.97293046,0.00055972
D15-0055,HPRC,T2T-CHM13,0.00049567,0.05427488,0.99950433,0.94522945,0.04310765,0.98927773,0.98927773,0.00035838
D15-1048,HPRC,T2T-CHM13,0.00109737,0.05891703,0.99890263,0.93998560,0.04634663,0.98728796,0.98728796,0.00037773
D15-1050,HPRC,T2T-CHM13,0.00161547,0.05559024,0.99838453,0.94279429,0.04444558,0.98612100,0.98612100,0.00035666
D15-1762,HPRC,T2T-CHM13,0.00074452,0.06142919,0.99925548,0.93782629,0.04941788,0.97501091,0.97501091,0.00038717
D15-1768,HPRC,T2T-CHM13,0.00075817,0.05557189,0.99924183,0.94366994,0.04518644,0.97734296,0.97734296,0.00041969
D16-0208,HPRC,T2T-CHM13,0.00089497,0.05832102,0.99910503,0.94078401,0.04801004,0.97947208,0.97947208,0.00040760
D16-0298,HPRC,T2T-CHM13,0.00145311,0.05429777,0.99854689,0.94424912,0.04594918,0.97736537,0.97736537,0.00037853
D17-0918,HPRC,T2T-CHM13,0.00097427,0.06816326,0.99902573,0.93086247,0.05642972,0.97825967,0.97825967,0.00041212
D18-0051,HPRC,T2T-CHM13,0.00103964,0.06455142,0.99896036,0.93440895,0.05407846,0.97465712,0.97465712,0.00038853
D18-0870,HPRC,T2T-CHM13,0.00107208,0.06470713,0.99892792,0.93422080,0.05364261,0.97328994,0.97328994,0.00039744
D18-1122,HPRC,T2T-CHM13,0.00105419,0.06391772,0.99894581,0.93502809,0.05420211,0.97468381,0.97468381,0.00035719
D18-1921,HPRC,T2T-CHM13,0.00121952,0.06016487,0.99878048,0.93861561,0.05245434,0.97443988,0.97443988,0.00034823
D19-0714,HPRC,T2T-CHM13,0.00095013,0.06055233,0.99904987,0.93849754,0.05086368,0.97624268,0.97624268,0.00038148
D19-0823,HPRC,T2T-CHM13,0.00075156,0.06575519,0.99924844,0.93349324,0.05344458,0.97696362,0.97696362,0.00035187
D19-0824,HPRC,T2T-CHM13,0.00075153,0.05709534,0.99924847,0.94215313,0.04677129,0.97553771,0.97553771,0.00035476
D19-0825,HPRC,T2T-CHM13,0.00074955,0.06366769,0.99925045,0.93558276,0.05246818,0.97613474,0.97613474,0.00036410
D19-1647,HPRC,T2T-CHM13,0.00157496,0.05773384,0.99842504,0.94069119,0.04733071,0.97781667,0.97781667,0.00037061
D19-1648,HPRC,T2T-CHM13,0.00165493,0.06194004,0.99834507,0.93640503,0.05020078,0.97656020,0.97656020,0.00037654
D19-1649,HPRC,T2T-CHM13,0.00177900,0.06001356,0.99822100,0.93820745,0.04857408,0.97737283,0.97737283,0.00038042
D20-0414,HPRC,T2T-CHM13,0.00071019,0.05647054,0.99928981,0.94281927,0.04400800,0.98161633,0.98161633,0.00033211
D20-0418,HPRC,T2T-CHM13,0.00072389,0.05905375,0.99927611,0.94022236,0.04722149,0.98242131,0.98242131,0.00033841
D20-0819,HPRC,T2T-CHM13,0.00068636,0.06153008,0.99931364,0.93778356,0.04958927,0.97780557,0.97780557,0.00045368
D20-1019,HPRC,T2T-CHM13,0.00169273,0.06019781,0.99830727,0.93810946,0.05125537,0.97390574,0.97390574,0.00040966
D20-1040,HPRC,T2T-CHM13,0.00167717,0.06585805,0.99832283,0.93246478,0.05460510,0.97478453,0.97478453,0.00044343
D21-0013,HPRC,T2T-CHM13,0.00098773,0.06068028,0.99901227,0.93833199,0.05082193,0.97654072,0.97654072,0.00040140
D21-0023,HPRC,T2T-CHM13,0.09070975,0.05732178,0.90929025,0.85196847,0.05157035,0.97612752,0.97612752,0.00039898
D21-0024,HPRC,T2T-CHM13,0.04343174,0.05446245,0.95656826,0.90210581,0.04682707,0.97726079,0.97726079,0.00040062
D21-0068,HPRC,T2T-CHM13,0.00080235,0.06266903,0.99919765,0.93652861,0.05039708,0.97529664,0.97529664,0.00035961
D21-0069,HPRC,T2T-CHM13,0.00059540,0.05594874,0.99940460,0.94345586,0.04518209,0.97796575,0.97796575,0.00036411
D21-0074,HPRC,T2T-CHM13,0.00159582,0.06097038,0.99840418,0.93743379,0.05007334,0.97365870,0.97365870,0.00037051
D21-0075,HPRC,T2T-CHM13,0.00115613,0.06566193,0.99884387,0.93318194,0.05406083,0.97742307,0.97742307,0.00035156
D21-0076,HPRC,T2T-CHM13,0.00131530,0.05703107,0.99868470,0.94165363,0.04738105,0.97730200,0.97730200,0.00038427
D21-0077,HPRC,T2T-CHM13,0.00134016,0.05904604,0.99865984,0.93961380,0.04982197,0.97495832,0.97495832,0.00035151
D21-0078,HPRC,T2T-CHM13,0.00133148,0.06381825,0.99866852,0.93485027,0.05196133,0.97829324,0.97829324,0.00036048
D21-0079,HPRC,T2T-CHM13,0.00138362,0.05783944,0.99861638,0.94077693,0.04867267,0.97640046,0.97640046,0.00036404
D21-0083,HPRC,T2T-CHM13,0.00102013,0.06057291,0.99897987,0.93840695,0.05167395,0.97407077,0.97407077,0.00040935
D21-0084,HPRC,T2T-CHM13,0.00110795,0.06277870,0.99889205,0.93611335,0.05346560,0.97428303,0.97428303,0.00045532
D21-0085,HPRC,T2T-CHM13,0.00095760,0.06215707,0.99904240,0.93688533,0.05096414,0.97936665,0.97936665,0.00035627
D21-0091,HPRC,T2T-CHM13,0.00117946,0.06178238,0.99882054,0.93703816,0.05007618,0.98857594,0.98857594,0.00035558
D22-0006,HPRC,T2T-CHM13,0.00114809,0.06222639,0.99885191,0.93662552,0.05141871,0.97740047,0.97740047,0.00040065
D22-0007,HPRC,T2T-CHM13,0.00073098,0.03470082,0.99926902,0.96456821,0.02783833,0.98134319,0.98134319,0.00045415
D22-0008,HPRC,T2T-CHM13,0.00102042,0.05789515,0.99897958,0.94108443,0.04839395,0.97714207,0.97714207,0.00041766
D22-0015,HPRC,T2T-CHM13,0.00091129,0.06415378,0.99908871,0.93493494,0.05102515,0.97731069,0.97731069,0.00040761
D22-0017,HPRC,T2T-CHM13,0.00092072,0.06547685,0.99907928,0.93360243,0.05279702,0.97779428,0.97779428,0.00039645
D22-0018,HPRC,T2T-CHM13,0.00202180,0.05799904,0.99797820,0.93997916,0.04585932,0.97864906,0.97864906,0.00041819
D22-0049,HPRC,T2T-CHM13,0.17350094,0.04982221,0.82649906,0.77667685,0.05009118,0.97857900,0.97857900,0.00037662
D22-0050,HPRC,T2T-CHM13,0.00097103,0.06493824,0.99902897,0.93409074,0.05389260,0.97433859,0.97433859,0.00037858
D22-0056,HPRC,T2T-CHM13,0.00115476,0.06117582,0.99884524,0.93766942,0.05166989,0.97451360,0.97451360,0.00039562
D22-0060,HPRC,T2T-CHM13,0.00107872,0.05959292,0.99892128,0.93932836,0.04983877,0.97437850,0.97437850,0.00038328
D22-0074,HPRC,T2T-CHM13,0.00115871,0.05662070,0.99884129,0.94222059,0.04710713,0.97628658,0.97628658,0.00037189
D22-0075,HPRC,T2T-CHM13,0.00104803,0.06095332,0.99895197,0.93799865,0.05102051,0.97601552,0.97601552,0.00037248
D22-0080,HPRC,T2T-CHM13,0.00105637,0.05726736,0.99894363,0.94167626,0.04889477,0.97687596,0.97687596,0.00038605
D22-0081,HPRC,T2T-CHM13,0.00098838,0.06390198,0.99901162,0.93510964,0.05506305,0.97578036,0.97578036,0.00041739
D22-0082,HPRC,T2T-CHM13,0.00096766,0.06101154,0.99903234,0.93802079,0.05263400,0.97593171,0.97593171,0.00042528
D22-0088,HPRC,T2T-CHM13,0.00129959,0.06212528,0.99870041,0.93657513,0.05181024,0.97331620,0.97331620,0.00042841
D22-0089,HPRC,T2T-CHM13,0.00108560,0.06258509,0.99891440,0.93632932,0.05230540,0.97557806,0.97557806,0.00039865
D22-0109,HPRC,T2T-CHM13,0.00100173,0.06020652,0.99899827,0.93879175,0.04973458,0.98002236,0.98002236,0.00036132
D22-0110,HPRC,T2T-CHM13,0.00110662,0.06202915,0.99889338,0.93686423,0.05156739,0.97945508,0.97945508,0.00036179
D22-0119,HPRC,T2T-CHM13,0.00117404,0.06287805,0.99882596,0.93594792,0.05255045,0.97458291,0.97458291,0.00040206
D22-0159,HPRC,T2T-CHM13,0.00107594,0.05804438,0.99892406,0.94087968,0.04791424,0.97913287,0.97913287,0.00036125
D22-0161,HPRC,T2T-CHM13,0.00099660,0.06239959,0.99900340,0.93660381,0.05196562,0.97851804,0.97851804,0.00036687
D22-0162,HPRC,T2T-CHM13,0.00096055,0.05751666,0.99903945,0.94152278,0.04824656,0.97941657,0.97941657,0.00037186
D22-0170,HPRC,T2T-CHM13,0.00074871,0.05374803,0.99925129,0.94550326,0.04419436,0.98128759,0.98128759,0.00039682
D23-0058,HPRC,T2T-CHM13,0.00091361,0.06517645,0.99908639,0.93390995,0.05310166,0.97863609,0.97863609,0.00039765
D23-0059,HPRC,T2T-CHM13,0.00088851,0.06532968,0.99911149,0.93378181,0.05392063,0.97804831,0.97804831,0.00039740
D23-0060,HPRC,T2T-CHM13,0.00078421,0.05784501,0.99921579,0.94137078,0.04701425,0.97958505,0.97958505,0.00037977
DGS-20-210,HPRC,T2T-CHM13,0.00066123,0.06068626,0.99933877,0.93865250,0.04795067,0.98632024,0.98632024,0.00034610
D09-468,HPRC,GRCh38,0.00051710,0.04265372,0.99948290,0.95682918,0.03737946,0.96475404,0.00582285,0.00000000
D12-880,HPRC,GRCh38,0.00004518,0.04249881,0.99995482,0.95745601,0.04687820,0.95922474,0.00576492,0.00046536
D12-881,HPRC,GRCh38,0.00005298,0.04525395,0.99994702,0.95469307,0.04746216,0.95985834,0.00467972,0.00049551
D12-928,HPRC,GRCh38,0.00124229,0.04673572,0.99875771,0.95202199,0.05333190,0.95660302,0.00643480,0.00047434
D13-708,HPRC,GRCh38,0.00110291,0.04408138,0.99889709,0.95481572,0.04089272,0.96158646,0.00355647,0.00039523
D13-944,HPRC,GRCh38,0.00069812,0.04204802,0.99930188,0.95725386,0.03734187,0.96692617,0.00464292,0.00038934
D14-0589,HPRC,GRCh38,0.00004152,0.04264099,0.99995848,0.95731749,0.04955040,0.95845613,0.00588203,0.00060497
D15-0055,HPRC,GRCh38,0.00034661,0.04161456,0.99965339,0.95803883,0.03521045,0.97514704,0.00127866,0.00040020
D15-1048,HPRC,GRCh38,0.00095885,0.04513268,0.99904115,0.95390847,0.03807265,0.97307643,0.00176863,0.00041498
D15-1050,HPRC,GRCh38,0.00147718,0.04164545,0.99852282,0.95687737,0.03654283,0.97143591,0.00234521,0.00039618
D15-1762,HPRC,GRCh38,0.00062323,0.04478230,0.99937677,0.95459447,0.04016236,0.96146705,0.00711337,0.00043331
D15-1768,HPRC,GRCh38,0.00063553,0.04135680,0.99936447,0.95800768,0.03709773,0.96401001,0.00650736,0.00045894
D16-0208,HPRC,GRCh38,0.00076140,0.04315184,0.99923860,0.95608676,0.03866720,0.96513214,0.00547807,0.00045333
D16-0298,HPRC,GRCh38,0.00134281,0.04150957,0.99865719,0.95714762,0.03783300,0.96493477,0.00350674,0.00042226
D17-0918,HPRC,GRCh38,0.00085234,0.04817197,0.99914766,0.95097569,0.04418320,0.96406218,0.00539806,0.00045523
D18-0051,HPRC,GRCh38,0.00090918,0.04878717,0.99909082,0.95030365,0.04464060,0.96031528,0.00697562,0.00043263
D18-0870,HPRC,GRCh38,0.00095238,0.04799178,0.99904762,0.95105585,0.04385639,0.95987317,0.00734552,0.00043994
D18-1122,HPRC,GRCh38,0.00093740,0.04672901,0.99906260,0.95233360,0.04415149,0.96145185,0.00439185,0.00041499
D18-1921,HPRC,GRCh38,0.00110712,0.04540652,0.99889288,0.95348636,0.04245207,0.95944647,0.00474053,0.00039492
D19-0714,HPRC,GRCh38,0.00082220,0.04501682,0.99917780,0.95416098,0.04161948,0.96235250,0.00390078,0.00043942
D19-0823,HPRC,GRCh38,0.00063557,0.04882794,0.99936443,0.95053649,0.04267061,0.96122618,0.00650957,0.00039854
D19-0824,HPRC,GRCh38,0.00062245,0.04329751,0.99937755,0.95608004,0.03836765,0.96187154,0.00709012,0.00039819
D19-0825,HPRC,GRCh38,0.00063472,0.04694368,0.99936528,0.95242160,0.04173062,0.96027252,0.00687396,0.00041574
D19-1647,HPRC,GRCh38,0.00146215,0.04278453,0.99853785,0.95575332,0.03794838,0.96462479,0.00606495,0.00046755
D19-1648,HPRC,GRCh38,0.00153888,0.04514545,0.99846112,0.95331567,0.03971285,0.96239740,0.00626772,0.00043306
D19-1649,HPRC,GRCh38,0.00167902,0.04524461,0.99832098,0.95307637,0.04069479,0.96427356,0.00623666,0.00043155
D20-0414,HPRC,GRCh38,0.00060070,0.04311773,0.99939930,0.95628157,0.03725097,0.96839319,0.00314064,0.00038417
D20-0418,HPRC,GRCh38,0.00060954,0.04474793,0.99939046,0.95464253,0.03907522,0.96799161,0.00292073,0.00038388
D20-0819,HPRC,GRCh38,0.00054598,0.04531450,0.99945402,0.95413953,0.04107439,0.96507951,0.00602788,0.00050198
D20-1019,HPRC,GRCh38,0.00157587,0.04478238,0.99842413,0.95364175,0.04181215,0.96052197,0.00725960,0.00044044
D20-1040,HPRC,GRCh38,0.00157560,0.04913000,0.99842440,0.94929440,0.04514035,0.96052086,0.00673720,0.00047465
D21-0013,HPRC,GRCh38,0.00085368,0.04589996,0.99914632,0.95324635,0.04186703,0.96268092,0.00639877,0.00051035
D21-0023,HPRC,GRCh38,0.09063454,0.04324213,0.90936546,0.86612333,0.04219015,0.96160937,0.00635877,0.00044503
D21-0024,HPRC,GRCh38,0.04333265,0.04156731,0.95666735,0.91510004,0.03778392,0.96404510,0.00623618,0.00044286
D21-0068,HPRC,GRCh38,0.00067710,0.04716474,0.99932290,0.95215816,0.04177499,0.96154348,0.00694303,0.00041049
D21-0069,HPRC,GRCh38,0.00047364,0.04167656,0.99952636,0.95784980,0.03703737,0.96441354,0.00630393,0.00039647
D21-0074,HPRC,GRCh38,0.00148682,0.04534769,0.99851318,0.95316549,0.04176449,0.95958001,0.00446595,0.00041194
D21-0075,HPRC,GRCh38,0.00104360,0.04873165,0.99895640,0.95022476,0.04427651,0.96296679,0.00273118,0.00038943
D21-0076,HPRC,GRCh38,0.00120144,0.04335550,0.99879856,0.95544306,0.03939789,0.96412529,0.00318793,0.00042421
D21-0077,HPRC,GRCh38,0.00123100,0.04415093,0.99876900,0.95461807,0.04085284,0.96147652,0.00414768,0.00039138
D21-0078,HPRC,GRCh38,0.00121262,0.04663095,0.99878738,0.95215642,0.04210119,0.96455211,0.00275917,0.00040280
D21-0079,HPRC,GRCh38,0.00127860,0.04339598,0.99872140,0.95532543,0.04004302,0.96259128,0.00369048,0.00041169
D21-0083,HPRC,GRCh38,0.00089518,0.04473348,0.99910482,0.95437134,0.04242302,0.95982142,0.00730851,0.00044012
D21-0084,HPRC,GRCh38,0.00099357,0.04583746,0.99900643,0.95316897,0.04371367,0.95990052,0.00706686,0.00048566
D21-0085,HPRC,GRCh38,0.00083894,0.04565862,0.99916106,0.95350245,0.04135271,0.96566758,0.00531322,0.00040895
D21-0091,HPRC,GRCh38,0.00084715,0.04499821,0.99915285,0.95415465,0.04077682,0.97456420,0.00131327,0.00040383
D22-0006,HPRC,GRCh38,0.00102827,0.04749279,0.99897173,0.95147894,0.04218128,0.96440804,0.00615713,0.00044875
D22-0007,HPRC,GRCh38,0.00059681,0.02759217,0.99940319,0.97181102,0.02026211,0.97196070,0.00577155,0.00051651
D22-0008,HPRC,GRCh38,0.00088389,0.04300291,0.99911611,0.95611320,0.03987866,0.96527846,0.00615383,0.00046728
D22-0015,HPRC,GRCh38,0.00080766,0.04828699,0.99919234,0.95090535,0.04248132,0.96323941,0.00594842,0.00045347
D22-0017,HPRC,GRCh38,0.00083334,0.04875598,0.99916666,0.95041068,0.04273237,0.96468856,0.00558447,0.00044832
D22-0018,HPRC,GRCh38,0.00191889,0.04376871,0.99808111,0.95431240,0.03758772,0.96422729,0.00559661,0.00045755
D22-0049,HPRC,GRCh38,0.17340410,0.03775431,0.82659590,0.78884159,0.04090601,0.96496550,0.00548542,0.00042389
D22-0050,HPRC,GRCh38,0.00085429,0.04781033,0.99914571,0.95133538,0.04371192,0.96035541,0.00693162,0.00042552
D22-0056,HPRC,GRCh38,0.00102287,0.04687078,0.99897713,0.95210635,0.04235181,0.96130656,0.00704745,0.00043900
D22-0060,HPRC,GRCh38,0.00094001,0.04526647,0.99905999,0.95379352,0.04195508,0.96094133,0.00750052,0.00043243
D22-0074,HPRC,GRCh38,0.00101900,0.04250888,0.99898100,0.95647212,0.03944411,0.96401147,0.00668880,0.00040630
D22-0075,HPRC,GRCh38,0.00092853,0.04600497,0.99907147,0.95306650,0.04219353,0.96347226,0.00655783,0.00041378
D22-0080,HPRC,GRCh38,0.00093079,0.04365550,0.99906921,0.95541371,0.04025083,0.96290532,0.00640574,0.00042759
D22-0081,HPRC,GRCh38,0.00084895,0.04681415,0.99915105,0.95233690,0.04394840,0.96110275,0.00640926,0.00045679
D22-0082,HPRC,GRCh38,0.00083623,0.04567569,0.99916377,0.95348808,0.04357766,0.96263732,0.00660294,0.00047385
D22-0088,HPRC,GRCh38,0.00116035,0.04631366,0.99883965,0.95252599,0.04299472,0.96121746,0.00756233,0.00047110
D22-0089,HPRC,GRCh38,0.00096638,0.04713559,0.99903362,0.95189804,0.04253809,0.96073184,0.00679864,0.00044203
D22-0109,HPRC,GRCh38,0.00088422,0.04432712,0.99911578,0.95478866,0.04021995,0.96683820,0.00529526,0.00040921
D22-0110,HPRC,GRCh38,0.00099278,0.04538048,0.99900722,0.95362674,0.04174912,0.96580267,0.00529842,0.00040709
D22-0119,HPRC,GRCh38,0.00105188,0.04654301,0.99894812,0.95240511,0.04316010,0.96108634,0.00719463,0.00044232
D22-0159,HPRC,GRCh38,0.00094151,0.04250991,0.99905849,0.95654858,0.03829705,0.96534333,0.00549212,0.00041040
D22-0161,HPRC,GRCh38,0.00086228,0.04471016,0.99913772,0.95442757,0.04102166,0.96531542,0.00540519,0.00041466
D22-0162,HPRC,GRCh38,0.00082724,0.04239088,0.99917276,0.95678188,0.03904087,0.96627424,0.00531466,0.00041108
D22-0170,HPRC,GRCh38,0.00062392,0.04142541,0.99937608,0.95795067,0.03786936,0.96940128,0.00467874,0.00044102
D23-0058,HPRC,GRCh38,0.00079311,0.04765566,0.99920689,0.95155123,0.04334307,0.96258248,0.00543627,0.00046922
D23-0059,HPRC,GRCh38,0.00077104,0.04817364,0.99922896,0.95105533,0.04394063,0.96437517,0.00557055,0.00043663
D23-0060,HPRC,GRCh38,0.00065684,0.04205296,0.99934316,0.95729020,0.03804483,0.96405881,0.00543739,0.00042750
DGS-20-210,HPRC,GRCh38,0.00054404,0.04573984,0.99945596,0.95371612,0.03924736,0.97274440,0.00195981,0.00039255