Sample	Vars	SNP	Indel	Ts/Tv
D09-468	7104302	5943230	1166550	0.97
D09-468.chm13	6847169	5756925	1095196	0.9
D12-880	6534562	5608543	930017	1.29
D12-880.chm13	5903929	5057420	850253	1.36
D12-881	6232139	5140290	1096185	1.48
D12-881.chm13	5682161	4690421	995550	1.49
D12-928	6617893	5644332	977629	1.26
D12-928.chm13	5722869	4845104	881451	1.48
D13-708	7387891	6085309	1308022	0.93
D13-708.chm13	7150074	5916057	1238972	0.87
D13-944	7782679	6590797	1197428	0.79
D13-944.chm13	7482602	6374136	1113453	0.74
D14-0589	6475363	5479534	999987	1.37
D14-0589.chm13	5857187	4956150	904663	1.41
D15-0055	7087101	5487058	1606321	1.11
D15-0055.chm13	6797701	5247408	1555908	1.04
D15-1048	7094283	5504437	1596080	1.08
D15-1048.chm13	6867250	5322164	1550781	1.01
D15-1050	6947084	5371320	1582265	1.16
D15-1050.chm13	6693811	5159910	1539643	1.09
D15-1762	7368896	6192022	1182215	0.88
D15-1762.chm13	7098755	6002386	1101098	0.81
D15-1768	7046178	5889366	1162426	0.99
D15-1768.chm13	6872430	5778428	1099077	0.91
D16-0208	7243455	6065384	1183713	0.92
D16-0208.chm13	6943069	5843609	1104398	0.84
D16-0298	7039124	5819544	1225198	0.99
D16-0298.chm13	6830084	5679128	1155996	0.93
D17-0918	7376090	6195114	1186497	0.87
D17-0918.chm13	7120667	6020269	1105446	0.8
D18-0051	7789689	6586506	1208507	0.79
D18-0051.chm13	7543275	6419222	1128865	0.72
D18-0870	7739464	6542810	1202133	0.79
D18-0870.chm13	7655326	6525831	1134506	0.73
D18-1122	7869663	6583653	1291630	0.78
D18-1122.chm13	7612402	6408884	1208352	0.73
D18-1921	7405837	6108929	1302217	0.91
D18-1921.chm13	7118187	5905413	1217662	0.84
D19-0714	7476874	6204322	1278303	0.89
D19-0714.chm13	7252044	6055726	1201500	0.82
D19-0823	7581509	6388542	1198165	0.83
D19-0823.chm13	7227251	6120655	1111220	0.77
D19-0824	7624838	6424594	1205674	0.83
D19-0824.chm13	7385246	6258923	1131206	0.78
D19-0825	7279825	6111578	1173794	0.91
D19-0825.chm13	6932619	5850877	1086736	0.84
D19-1647	7148556	5946448	1207622	0.96
D19-1647.chm13	6919946	5789042	1135854	0.89
D19-1648	7096351	5907859	1193788	0.96
D19-1648.chm13	6869012	5747446	1126430	0.9
D19-1649	7112231	5909631	1207996	0.98
D19-1649.chm13	6855031	5724255	1135607	0.92
D20-0414	6772426	5574127	1203524	1.07
D20-0414.chm13	6482337	5346380	1140825	1.02
D20-0418	6567243	5382522	1190181	1.15
D20-0418.chm13	6321274	5195580	1130616	1.08
D20-0819	7210172	6036810	1178827	0.92
D20-0819.chm13	6941246	5842878	1103202	0.86
D20-1019	7796960	6554990	1247143	0.81
D20-1019.chm13	7683954	6509884	1178818	0.75
D20-1040	7676445	6447035	1234494	0.83
D20-1040.chm13	7497793	6349355	1152956	0.76
D21-0013	7726640	6509833	1222430	0.82
D21-0013.chm13	7481248	6346368	1139987	0.75
D21-0023	7257695	6008141	1255013	0.95
D21-0023.chm13	6996922	5823357	1178734	0.88
D21-0024	7442017	6169402	1278545	0.95
D21-0024.chm13	7244698	6040050	1210156	0.89
D21-0068	7567227	6380833	1191721	0.83
D21-0068.chm13	7298526	6191436	1111857	0.78
D21-0069	7282277	6102772	1185134	0.92
D21-0069.chm13	7065189	5955119	1115156	0.85
D21-0074	7321830	6072373	1255132	0.93
D21-0074.chm13	7099369	5911351	1193320	0.88
D21-0075	7479669	6163818	1321363	0.91
D21-0075.chm13	7294626	6042186	1257512	0.85
D21-0076	6754915	5596220	1164793	1.13
D21-0076.chm13	6625314	5512807	1118152	1.06
D21-0077	7386810	6085236	1306923	0.91
D21-0077.chm13	7104950	5877036	1232768	0.85
D21-0078	7029230	5822723	1211948	0.99
D21-0078.chm13	6760450	5622403	1142980	0.93
D21-0079	6925315	5733482	1197534	1.03
D21-0079.chm13	6760016	5628180	1137055	0.96
D21-0083	7687356	6484543	1208317	0.82
D21-0083.chm13	7505822	6381553	1129412	0.76
D21-0084	7579947	6370757	1214714	0.86
D21-0084.chm13	7455348	6322303	1138008	0.78
D21-0085	7411094	6239664	1176749	0.86
D21-0085.chm13	7160121	6065752	1099345	0.79
D21-0091	7996265	6816470	1185101	0.73
D21-0091.chm13	6575298	5501378	1078918	0.97
D22-0006	7135394	5948326	1192726	0.98
D22-0006.chm13	6928636	5810003	1123887	0.9
D22-0007	7469706	6281956	1193042	0.85
D22-0007.chm13	7041290	5948720	1097092	0.8
D22-0008	7444102	6261995	1187777	0.86
D22-0008.chm13	7166081	6063489	1107652	0.79
D22-0015	7233453	6024969	1214106	0.95
D22-0015.chm13	6928737	5793588	1140260	0.89
D22-0017	7409437	6179119	1235821	0.9
D22-0017.chm13	7150278	5992438	1162761	0.84
D22-0018	7220563	5998219	1227909	0.97
D22-0018.chm13	6962378	5809235	1158270	0.91
D22-0049	7955112	6684479	1276087	0.78
D22-0049.chm13	7745369	6558747	1191488	0.72
D22-0050	7988175	6780231	1213254	0.75
D22-0050.chm13	7751889	6628568	1128188	0.69
D22-0056	7803963	6579824	1229651	0.8
D22-0056.chm13	7643859	6495399	1153573	0.74
D22-0060	7869649	6652866	1222284	0.78
D22-0060.chm13	7606772	6470953	1140749	0.71
D22-0074	7657485	6471876	1190994	0.81
D22-0074.chm13	7529792	6415286	1119708	0.76
D22-0075	7907935	6721237	1192055	0.75
D22-0075.chm13	7707068	6600604	1111386	0.69
D22-0080	7703218	6506788	1201947	0.8
D22-0080.chm13	7492118	6372593	1124618	0.74
D22-0081	7578708	6399615	1184568	0.83
D22-0081.chm13	7487190	6379266	1112985	0.76
D22-0082	7571056	6376193	1200586	0.85
D22-0082.chm13	7376169	6262018	1119316	0.77
D22-0088	7634724	6434163	1206405	0.84
D22-0088.chm13	7611564	6460171	1156885	0.79
D22-0089	7410259	6239771	1175908	0.87
D22-0089.chm13	7163442	6079621	1088783	0.79
D22-0109	7212657	6048417	1169629	0.91
D22-0109.chm13	6952857	5868156	1089678	0.84
D22-0110	7308801	6139737	1174661	0.88
D22-0110.chm13	7077644	5986913	1095703	0.82
D22-0119	7593816	6395341	1204697	0.88
D22-0119.chm13	7451352	6319075	1137989	0.81
D22-0159	7161129	5980050	1186739	0.95
D22-0159.chm13	6865016	5767902	1102058	0.88
D22-0161	7262671	6094513	1173697	0.89
D22-0161.chm13	7095047	5999085	1100954	0.83
D22-0162	7202519	6024256	1184049	0.93
D22-0162.chm13	6988852	5886106	1108036	0.86
D22-0170	7611021	6412849	1203617	0.83
D22-0170.chm13	7353522	6233937	1124695	0.76
D23-0058	7254125	6086071	1173570	0.91
D23-0058.chm13	7023531	5925787	1102660	0.85
D23-0059	7343292	6167891	1180895	0.89
D23-0059.chm13	7187304	6079151	1113242	0.83
D23-0060	7285726	6104800	1186475	0.92
D23-0060.chm13	6986878	5883596	1108261	0.85
D23-0074	7316213	6131498	1190433	0.91
D23-0074.chm13	7076621	5965090	1116695	0.85
DGS-20-210	6580697	5404752	1181206	1.15
DGS-20-210.chm13	6322315	5209541	1117648	1.09