original	target
FS28686282_FS28686282	HP25-0012_FS28686282
FS28686410_FS28686410	D14-1473_FS28686410
FS28686429_FS28686429	D25-045_FS28686429
FS28686430_FS28686430	D25-046_FS28686430
FS28686431_FS28686431	D25-047_FS28686431
FS28687438_FS28687438	D25-075_FS28687438
FS28687439_FS28687439	D23-0094_FS28687439
FS28687440_FS28687440	D23-0095_FS28687440
FS28690513_FS28690513	D25-028_FS28690513
FS28690534_FS28690534	P25-026_FS28690534
FS28690535_FS28690535	P25-094_FS28690535
FS28690536_FS28690536	P25-095_FS28690536
FS11405065_FS11405065	P25-096_FS11405065
FS11403141_FS11403141	D25-011_FS11403141
FS11403144_FS11403144	D25-014_FS11403144
FS11403189_FS11403189	D25-038_FS11403189
FS11403190_FS11403190	D25-039_FS11403190
FS11403192_FS11403192	D25-040_FS11403192
FS11403193_FS11403193	D19-1240_FS11403193
FS11403194_FS11403194	D19-1247_FS11403194
FS11403233_FS11403233	D24-0245_FS11403233
FS11403243_FS11403243	D24-0239_FS11403243